node_num_list,all_real_labels_list,all_eval_label_list
100,"[112.62667846679688, 117.44169616699219, 112.52055358886719, 112.70046997070312, 112.1735610961914, 108.47614288330078, 109.87953186035156, 112.29254913330078, 110.28462982177734, 106.265625, 105.76264953613281, 103.66027069091797, 114.04960632324219, 106.0633544921875, 114.04960632324219, 105.47167205810547, 114.04960632324219, 105.47167205810547, 110.40926361083984, 112.70046997070312, 103.26373291015625, 109.93087005615234, 110.12725830078125, 103.0974349975586, 106.34844207763672, 103.86089324951172, 111.2697525024414, 106.90653991699219, 109.67596435546875, 114.04960632324219, 105.47167205810547, 103.26373291015625, 105.97572326660156, 103.26373291015625, 111.2697525024414, 109.77291870117188, 110.53255462646484, 103.02816772460938, 100.60116577148438, 103.87899017333984, 101.02587890625, 105.48609924316406, 108.98152923583984, 108.87477111816406, 98.4099349975586, 106.4878921508789, 109.97661590576172, 103.01250457763672, 107.91946411132812, 114.04960632324219, 108.29605865478516, 103.63287353515625, 107.71491241455078, 108.87477111816406, 114.04960632324219, 100.60116577148438, 109.93087005615234, 105.47167205810547, 109.87953186035156, 103.38467407226562, 101.35152435302734, 105.47167205810547, 101.18146514892578]","[254.83570861816406, 295.41552734375, 240.9056854248047, 247.55767822265625, 244.83872985839844, 262.92681884765625, 245.66172790527344, 260.4581604003906, 245.17710876464844, 251.08839416503906, 249.38430786132812, 233.61766052246094, 270.6015625, 252.779296875, 270.6015625, 244.43637084960938, 267.1112365722656, 241.32196044921875, 239.15060424804688, 250.30514526367188, 226.67156982421875, 229.84954833984375, 245.2091064453125, 233.1822052001953, 235.52821350097656, 230.4695281982422, 239.388916015625, 236.9490966796875, 243.7972412109375, 267.1112365722656, 241.32196044921875, 226.67156982421875, 221.43490600585938, 229.69871520996094, 234.9952850341797, 233.63076782226562, 233.32138061523438, 224.0323486328125, 211.392822265625, 232.9693145751953, 211.0782470703125, 221.28695678710938, 216.5487823486328, 198.31591796875, 194.0925750732422, 195.7645721435547, 236.4306182861328, 200.1079559326172, 216.03912353515625, 267.1112365722656, 205.5049285888672, 212.5032501220703, 211.025390625, 194.11756896972656, 267.1112365722656, 211.392822265625, 229.84954833984375, 241.32196044921875, 245.66172790527344, 200.21044921875, 210.25831604003906, 241.3219451904297, 196.4343719482422]"
101,"[118.60560607910156, 120.97491455078125, 125.03105926513672, 113.18767547607422, 120.9214859008789, 112.41119384765625, 118.12413787841797, 113.46522521972656, 113.61415100097656, 117.93250274658203, 121.5564193725586, 110.47227478027344, 111.98141479492188, 110.47227478027344, 110.66244506835938, 120.43617248535156, 118.10751342773438, 110.47227478027344, 108.65110778808594, 110.47227478027344, 117.93250274658203, 108.21046447753906, 117.58805084228516, 111.03108215332031, 114.86705017089844, 108.76605224609375, 110.38924407958984, 111.03108215332031, 117.93250274658203, 108.76605224609375, 118.12413787841797, 115.68061828613281, 115.65081024169922, 114.8382797241211, 118.84076690673828, 113.24429321289062, 119.25206756591797, 110.48715209960938, 113.49475860595703, 110.75946807861328, 117.94615173339844, 118.12413787841797, 110.75946807861328, 110.66244506835938, 121.79061126708984, 110.47227478027344, 115.65081024169922, 110.75946807861328, 116.52394104003906, 108.46211242675781, 117.94615173339844, 108.46211242675781, 105.52781677246094, 121.91439056396484, 115.65081024169922, 111.00703430175781, 109.44971466064453, 121.91439056396484, 108.27922821044922, 108.0511474609375, 108.46211242675781, 105.52781677246094, 119.48756408691406, 110.47227478027344]","[257.386474609375, 285.4210205078125, 263.226318359375, 261.9652404785156, 246.39532470703125, 244.24237060546875, 226.54823303222656, 250.12982177734375, 272.4146423339844, 264.1831970214844, 237.02882385253906, 232.99313354492188, 231.99208068847656, 236.12503051757812, 226.15353393554688, 245.0198516845703, 230.6825714111328, 232.99313354492188, 222.27490234375, 232.99313354492188, 249.3914031982422, 223.68211364746094, 215.35398864746094, 241.09600830078125, 243.98049926757812, 225.059326171875, 226.00625610351562, 233.2498321533203, 249.3914031982422, 213.2716522216797, 226.54823303222656, 253.12123107910156, 248.54437255859375, 198.2374267578125, 226.6441650390625, 237.49867248535156, 212.57652282714844, 234.6326446533203, 221.53878784179688, 222.53514099121094, 272.2982482910156, 226.54823303222656, 222.53514099121094, 228.9359893798828, 237.02882385253906, 236.12503051757812, 226.33644104003906, 222.53514099121094, 206.40689086914062, 199.07083129882812, 275.71826171875, 199.07083129882812, 202.68739318847656, 245.70401000976562, 226.33644104003906, 194.2124481201172, 204.23570251464844, 245.70401000976562, 225.20692443847656, 198.8394012451172, 199.07083129882812, 202.68739318847656, 212.57652282714844, 232.99313354492188]"
102,"[127.87688446044922, 124.66554260253906, 132.70179748535156, 122.58863830566406, 127.76791381835938, 120.93927764892578, 124.97976684570312, 122.88507843017578, 121.85550689697266, 128.84771728515625, 128.84771728515625, 118.82347106933594, 120.70421600341797, 118.82347106933594, 120.09634399414062, 127.649658203125, 125.20555114746094, 118.82347106933594, 119.60589599609375, 118.82347106933594, 128.68502807617188, 117.26580047607422, 124.70065307617188, 120.19984436035156, 123.95660400390625, 117.90340423583984, 118.86827850341797, 120.19984436035156, 128.84771728515625, 117.90340423583984, 124.97976684570312, 124.86421966552734, 126.53588104248047, 121.93024444580078, 125.62899780273438, 114.4638900756836, 122.21343994140625, 126.53588104248047, 119.44014739990234, 122.50402069091797, 119.92169189453125, 129.3213348388672, 124.97976684570312, 119.57072448730469, 120.19984436035156, 128.84771728515625, 118.82347106933594, 126.37484741210938, 119.92169189453125, 123.29374694824219, 117.5986099243164, 122.36698150634766, 117.5986099243164, 114.4638900756836, 129.3213348388672, 126.53588104248047, 119.98464965820312, 118.17509460449219, 129.3213348388672, 117.16818237304688, 116.5054931640625, 114.4638900756836, 126.53588104248047, 120.14292907714844, 117.90340423583984]","[258.42041015625, 248.06234741210938, 324.9491271972656, 257.9444580078125, 250.0214385986328, 246.6592254638672, 241.86244201660156, 248.94094848632812, 274.29254150390625, 273.4515075683594, 258.13165283203125, 233.11370849609375, 232.1291961669922, 236.27020263671875, 226.7920379638672, 266.9175109863281, 253.73760986328125, 233.11370849609375, 220.60867309570312, 233.11370849609375, 258.13165283203125, 223.114990234375, 214.2073211669922, 241.11734008789062, 247.973876953125, 223.7786865234375, 226.21316528320312, 233.2583770751953, 258.13165283203125, 211.9723663330078, 241.86244201660156, 261.5068054199219, 269.609619140625, 197.0222625732422, 236.37294006347656, 200.91783142089844, 240.23011779785156, 246.60943603515625, 234.29005432128906, 222.13616943359375, 221.9413604736328, 298.5162048339844, 241.86244201660156, 219.03216552734375, 227.11839294433594, 258.13165283203125, 236.27020263671875, 246.60943603515625, 221.9413604736328, 205.0599822998047, 197.73780822753906, 215.57290649414062, 197.73780822753906, 200.91783142089844, 298.5162048339844, 246.60943603515625, 192.84991455078125, 203.0517120361328, 298.5162048339844, 223.59779357910156, 197.55130004882812, 200.91783142089844, 246.60943603515625, 257.64605712890625, 202.7465362548828]"
103,"[120.68319702148438, 123.2176513671875, 121.05093383789062, 120.0606460571289, 116.53080749511719, 115.22122955322266, 113.77826690673828, 116.32395935058594, 116.46113586425781, 119.8345718383789, 118.05946350097656, 113.33374786376953, 113.81879425048828, 113.33374786376953, 113.56966400146484, 116.34123229980469, 114.51842498779297, 113.33374786376953, 112.0201187133789, 113.33374786376953, 120.04072570800781, 110.55680084228516, 112.48877716064453, 113.29153442382812, 117.47201538085938, 111.09513854980469, 117.68960571289062, 112.81616973876953, 112.95381927490234, 119.8345718383789, 111.49275207519531, 113.77826690673828, 117.68960571289062, 117.62764739990234, 111.93103790283203, 114.3115463256836, 116.17906951904297, 113.61409759521484, 115.2741470336914, 114.14387512207031, 120.04072570800781, 113.77826690673828, 113.58175659179688, 113.29153442382812, 118.05946350097656, 113.33374786376953, 113.58175659179688, 112.10853576660156, 111.9107666015625, 119.8345718383789, 108.00799560546875, 109.10897064208984, 118.05946350097656, 117.62764739990234, 120.04072570800781, 117.62764739990234, 111.34750366210938, 111.01557159423828, 111.01557159423828, 109.09415435791016, 117.64410400390625, 113.33374786376953, 111.09513854980469, 111.01557159423828, 120.04072570800781]","[255.5323486328125, 295.5437927246094, 264.5364990234375, 248.21400451660156, 248.14431762695312, 244.61936950683594, 226.71109008789062, 247.6650848388672, 266.88629150390625, 262.4002685546875, 253.2638702392578, 233.77523803710938, 231.7458038330078, 236.90457153320312, 227.03541564941406, 248.17379760742188, 231.45785522460938, 233.77523803710938, 223.5299835205078, 233.77523803710938, 274.6739807128906, 222.4180145263672, 215.59849548339844, 241.7761993408203, 245.7030792236328, 225.32754516601562, 247.69822692871094, 224.11341857910156, 233.119384765625, 247.52317810058594, 220.67056274414062, 226.71109008789062, 250.62350463867188, 252.11309814453125, 211.50704956054688, 226.86009216308594, 239.28424072265625, 228.357421875, 219.3982391357422, 222.15518188476562, 271.16015625, 226.71109008789062, 218.51483154296875, 227.8549346923828, 253.2638702392578, 236.90457153320312, 218.51483154296875, 206.703857421875, 199.3738555908203, 247.52317810058594, 204.20436096191406, 194.53599548339844, 250.16177368164062, 229.77369689941406, 271.16015625, 229.77369689941406, 204.52647399902344, 214.6090087890625, 214.6090087890625, 196.26625061035156, 231.54588317871094, 233.77523803710938, 204.4117431640625, 214.60899353027344, 271.16015625]"
104,"[127.78079223632812, 124.49044799804688, 126.97767639160156, 121.46745300292969, 122.33585357666016, 121.75491333007812, 119.57241821289062, 122.61849212646484, 121.34171295166016, 123.04546356201172, 123.59490203857422, 118.29303741455078, 120.30532836914062, 118.29303741455078, 119.84123229980469, 121.74578094482422, 119.39513397216797, 118.29303741455078, 118.5218505859375, 122.87417602539062, 117.11194610595703, 118.86276245117188, 120.02336883544922, 123.1605453491211, 117.54721069335938, 124.68756103515625, 119.30799865722656, 119.358642578125, 123.24472045898438, 117.95073699951172, 119.57241821289062, 124.68756103515625, 120.80889892578125, 116.19305419921875, 120.21276092529297, 122.4270248413086, 118.99575805664062, 121.43524169921875, 117.54721069335938, 119.94200897216797, 123.59490203857422, 119.57241821289062, 119.94200897216797, 119.73397827148438, 123.59490203857422, 118.29303741455078, 120.63925170898438, 119.94200897216797, 117.94888305664062, 117.63287353515625, 122.22176361083984, 117.63287353515625, 114.46733856201172, 121.00926971435547, 119.06819152832031, 117.783447265625, 116.53726959228516, 123.59490203857422, 115.45894622802734, 117.63287353515625, 118.29303741455078, 117.45832824707031, 116.53726959228516, 123.59490203857422, 120.70221710205078]","[257.9070129394531, 246.33261108398438, 345.17706298828125, 288.6498718261719, 250.78250122070312, 246.9621124267578, 243.5634307861328, 246.56739807128906, 279.60345458984375, 275.8337097167969, 307.8503723144531, 233.3193817138672, 231.62489318847656, 236.4733428955078, 227.4110107421875, 269.30438232421875, 256.0956115722656, 233.3193817138672, 222.29705810546875, 260.50726318359375, 221.0845184326172, 214.49977111816406, 235.7935028076172, 239.03683471679688, 218.70484924316406, 255.7762908935547, 225.09732055664062, 232.95587158203125, 260.50726318359375, 219.34918212890625, 243.5634307861328, 258.8700866699219, 272.9957580566406, 197.31849670410156, 237.61549377441406, 237.94602966308594, 229.4853973388672, 220.75238037109375, 212.5248565673828, 222.7190704345703, 303.8169860839844, 243.5634307861328, 222.7190704345703, 227.6426239013672, 307.8503723144531, 236.4733428955078, 249.98666381835938, 222.7190704345703, 205.35888671875, 198.0459442138672, 216.06875610351562, 198.0459442138672, 202.83340454101562, 249.98666381835938, 195.54022216796875, 203.33958435058594, 216.75164794921875, 303.8169860839844, 194.91558837890625, 198.0459442138672, 233.3193817138672, 203.04348754882812, 216.75164794921875, 303.8169860839844, 213.16262817382812]"
105,"[123.0222396850586, 128.01022338867188, 129.46580505371094, 120.76420593261719, 122.1874771118164, 123.55496215820312, 124.90226745605469, 125.39118194580078, 119.99213409423828, 117.87602233886719, 122.0916748046875, 125.95655822753906, 119.5936279296875, 123.30034637451172, 117.08003234863281, 124.2891616821289, 123.55496215820312, 120.9314193725586, 125.95655822753906, 125.95655822753906, 119.42975616455078, 123.13941955566406, 124.90226745605469, 123.01295471191406, 121.25575256347656, 124.79826354980469, 119.65502166748047, 125.95655822753906, 116.91703033447266, 124.79826354980469, 120.90061950683594, 119.5936279296875, 125.39118194580078, 120.9311294555664, 123.13941955566406, 122.83562469482422, 122.52909088134766, 125.27326965332031, 118.99964904785156, 124.4297103881836, 120.9314193725586, 117.08003234863281, 117.82928466796875, 123.02264404296875, 118.24051666259766, 120.9311294555664, 122.9757308959961, 118.74343872070312, 124.90226745605469, 120.9314193725586, 125.95655822753906, 119.45359802246094, 120.9314193725586, 120.9314193725586, 120.37263488769531, 122.52909088134766, 114.1028823852539, 118.57640075683594, 115.4246826171875, 117.08003234863281, 114.1028823852539, 116.5802001953125, 118.74343872070312, 116.90008544921875, 118.57640075683594, 120.5111312866211]","[248.18484497070312, 256.86163330078125, 325.0489196777344, 240.23135375976562, 243.73008728027344, 256.5531005859375, 243.74415588378906, 259.8957214355469, 240.82545471191406, 237.8030242919922, 251.25880432128906, 293.2591247558594, 232.681884765625, 255.19625854492188, 208.7489471435547, 262.5163879394531, 249.6536865234375, 241.88316345214844, 297.1487731933594, 297.1487731933594, 229.9716033935547, 250.44110107421875, 246.64451599121094, 235.91848754882812, 247.57537841796875, 236.82347106933594, 211.59457397460938, 301.8046569824219, 226.05934143066406, 243.0111541748047, 250.66397094726562, 241.1687774658203, 256.619873046875, 222.60650634765625, 245.52207946777344, 250.37197875976562, 220.0571746826172, 259.7449951171875, 220.53765869140625, 259.71728515625, 241.88316345214844, 221.8985137939453, 224.83689880371094, 250.2147979736328, 216.9369354248047, 222.60650634765625, 245.93817138671875, 211.01669311523438, 243.74415588378906, 249.94920349121094, 293.2591247558594, 218.92337036132812, 249.94920349121094, 241.88316345214844, 199.1042022705078, 210.76393127441406, 203.53515625, 197.2010040283203, 203.96897888183594, 208.7489471435547, 203.53515625, 201.49546813964844, 208.34112548828125, 198.99386596679688, 197.20101928710938, 194.93101501464844]"
106,"[126.9754409790039, 132.04600524902344, 134.79942321777344, 124.07304382324219, 125.25713348388672, 129.84841918945312, 128.9490966796875, 130.60284423828125, 123.03609466552734, 120.86918640136719, 129.2080078125, 131.2565460205078, 126.89445495605469, 128.9212646484375, 124.5185317993164, 129.5150909423828, 129.68228149414062, 127.2341537475586, 131.2565460205078, 131.2565460205078, 126.52471160888672, 128.34716796875, 128.9490966796875, 126.97618103027344, 127.17990112304688, 128.9490966796875, 122.73445892333984, 130.60284423828125, 119.90813446044922, 128.46070861816406, 126.82512664794922, 126.83946228027344, 130.60284423828125, 124.87712097167969, 128.34716796875, 128.03746032714844, 126.9853286743164, 130.48643493652344, 121.3968505859375, 129.65377807617188, 127.2341537475586, 124.01546478271484, 124.6590576171875, 128.23184204101562, 121.3968505859375, 124.01546478271484, 124.87712097167969, 128.1757049560547, 124.6598892211914, 128.9490966796875, 127.22466278076172, 131.2565460205078, 124.4737777709961, 127.22466278076172, 124.501220703125, 121.3968505859375, 124.01546478271484, 117.10082244873047, 122.52560424804688, 122.3288345336914, 128.34716796875, 117.10082244873047, 131.2565460205078, 124.6598892211914, 122.52560424804688, 125.70314025878906, 125.56644439697266]","[246.59982299804688, 259.1057434082031, 325.35491943359375, 240.2221221923828, 244.01844787597656, 256.1031188964844, 243.54095458984375, 259.02569580078125, 240.9541778564453, 237.9330596923828, 250.60723876953125, 291.92352294921875, 235.89463806152344, 254.2388916015625, 212.2158660888672, 261.6460266113281, 256.18890380859375, 252.20162963867188, 295.7870178222656, 295.7870178222656, 230.19369506835938, 250.6612548828125, 246.4402313232422, 235.88865661621094, 247.739990234375, 246.4402313232422, 211.7311248779297, 259.02569580078125, 226.1981658935547, 242.1312713623047, 252.17303466796875, 239.8394775390625, 255.75323486328125, 222.74778747558594, 245.74717712402344, 250.56845092773438, 225.2466583251953, 262.9613952636719, 214.2372283935547, 258.8474426269531, 252.20162963867188, 216.87612915039062, 221.3253173828125, 256.57080078125, 214.2372283935547, 216.87612915039062, 222.74778747558594, 246.137451171875, 211.15261840820312, 243.54095458984375, 250.12591552734375, 291.92352294921875, 209.3021697998047, 250.12591552734375, 196.7154541015625, 211.50990295410156, 216.87612915039062, 203.6762237548828, 197.35101318359375, 204.73707580566406, 250.6612548828125, 203.6762237548828, 291.92352294921875, 208.4779052734375, 197.35101318359375, 195.08111572265625, 199.25039672851562]"
107,"[129.33847045898438, 135.04965209960938, 137.84596252441406, 126.66516876220703, 126.41448211669922, 132.81935119628906, 131.94332885742188, 133.66064453125, 124.63177490234375, 123.71104431152344, 132.1758270263672, 134.2956085205078, 129.86427307128906, 131.90509033203125, 127.4722671508789, 132.4833221435547, 132.65240478515625, 130.19091796875, 134.2956085205078, 134.2956085205078, 129.48013305664062, 131.38888549804688, 131.94332885742188, 130.49327087402344, 129.4993438720703, 131.94332885742188, 123.88863372802734, 133.66064453125, 121.70284271240234, 130.49327087402344, 129.4993438720703, 129.8199462890625, 133.66064453125, 128.02549743652344, 131.38888549804688, 131.003662109375, 128.70889282226562, 132.4833221435547, 123.97843933105469, 132.4833221435547, 130.19091796875, 126.9847412109375, 127.6412353515625, 131.003662109375, 124.65528106689453, 126.9847412109375, 128.70889282226562, 131.003662109375, 127.13546752929688, 131.94332885742188, 130.18353271484375, 134.2956085205078, 128.02499389648438, 130.18353271484375, 126.3322982788086, 123.97843933105469, 126.9847412109375, 118.84168243408203, 126.3322982788086, 125.29473876953125, 131.38888549804688, 122.30172729492188, 134.2956085205078, 128.02549743652344, 125.43693542480469, 128.51625061035156, 128.51625061035156, 128.51625061035156]","[247.13082885742188, 257.67413330078125, 325.8225402832031, 238.52349853515625, 244.14524841308594, 256.23565673828125, 243.89784240722656, 259.16461181640625, 240.6529541015625, 239.68862915039062, 250.73077392578125, 292.0548400878906, 236.02340698242188, 256.4318542480469, 212.34886169433594, 261.7846984863281, 256.3243103027344, 252.3167266845703, 295.9102478027344, 295.9102478027344, 230.3192596435547, 250.78016662597656, 246.79600524902344, 237.00624084472656, 255.38990783691406, 246.79600524902344, 211.86587524414062, 262.56060791015625, 227.87730407714844, 235.08274841308594, 250.7103271484375, 239.96914672851562, 255.89547729492188, 217.0994415283203, 245.87109375, 250.69552612304688, 221.47781372070312, 261.7846984863281, 214.93133544921875, 258.9866027832031, 252.3167266845703, 217.0087890625, 221.4650115966797, 250.69552612304688, 219.1811065673828, 217.0087890625, 222.39857482910156, 246.26727294921875, 214.4607391357422, 243.89784240722656, 250.24253845214844, 292.0548400878906, 219.20440673828125, 250.24253845214844, 197.49118041992188, 212.20623779296875, 217.0087890625, 205.93948364257812, 197.4967803955078, 204.87982177734375, 255.87942504882812, 202.15966796875, 292.0548400878906, 213.23658752441406, 199.28494262695312, 195.22959899902344, 199.39505004882812, 199.39505004882812]"
108,"[131.83294677734375, 137.1778564453125, 140.28240966796875, 136.66024780273438, 129.33163452148438, 129.33163452148438, 135.3333282470703, 135.94338989257812, 127.53877258300781, 126.05858612060547, 133.65545654296875, 136.66024780273438, 131.33544921875, 134.71218872070312, 128.97647094726562, 134.79469299316406, 135.2284393310547, 132.59817504882812, 136.66024780273438, 136.66024780273438, 130.9940948486328, 133.672119140625, 134.1748046875, 132.7515411376953, 132.6109619140625, 134.06419372558594, 126.79564666748047, 134.60635375976562, 123.39204406738281, 133.27752685546875, 132.6109619140625, 131.91183471679688, 135.94338989257812, 130.2783203125, 133.672119140625, 133.30078125, 130.80105590820312, 135.8441925048828, 127.22501373291016, 134.9100799560547, 132.59817504882812, 129.22024536132812, 129.89822387695312, 133.57383728027344, 127.22501373291016, 129.22024536132812, 130.95680236816406, 133.415771484375, 130.23556518554688, 134.1748046875, 132.559326171875, 136.66024780273438, 130.23556518554688, 132.559326171875, 132.59817504882812, 132.559326171875, 131.77322387695312, 128.56727600097656, 127.51139831542969, 133.1130828857422, 124.78514099121094, 136.66024780273438, 130.80105590820312, 136.66024780273438, 124.78514099121094, 130.92417907714844, 130.81044006347656, 130.62481689453125]","[251.03591918945312, 254.7906951904297, 329.2841491699219, 289.8251953125, 238.4053192138672, 244.01170349121094, 251.2080841064453, 257.665283203125, 240.35462951660156, 243.6034698486328, 250.20803833007812, 289.8251953125, 241.2774200439453, 254.9882049560547, 218.60647583007812, 260.2851257324219, 248.43231201171875, 242.4351043701172, 293.6357727050781, 293.6357727050781, 232.0177764892578, 251.09994506835938, 251.04144287109375, 239.3020782470703, 255.61231994628906, 240.0115203857422, 212.00074768066406, 260.284423828125, 226.1780242919922, 238.24703979492188, 252.26358032226562, 240.97593688964844, 254.3997344970703, 217.05870056152344, 246.1958770751953, 250.95877075195312, 214.9493408203125, 261.5937805175781, 221.44375610351562, 257.4875183105469, 242.4351043701172, 219.0707550048828, 222.99903869628906, 256.9989929199219, 221.44375610351562, 219.0707550048828, 222.41847229003906, 246.5333251953125, 214.59291076660156, 248.10545349121094, 242.7465057373047, 289.8251953125, 209.5685577392578, 242.7465057373047, 242.4351043701172, 242.7465057373047, 210.95486450195312, 197.6440887451172, 204.70460510253906, 249.3318328857422, 201.93112182617188, 289.8251953125, 212.4813232421875, 289.8251953125, 201.93112182617188, 195.37796020507812, 199.5393829345703, 197.09971618652344]"
109,"[133.38552856445312, 135.71827697753906, 136.72650146484375, 129.95938110351562, 128.91477966308594, 129.5418243408203, 130.01141357421875, 132.5039520263672, 127.50674438476562, 126.08132934570312, 129.6217803955078, 133.20457458496094, 127.46357727050781, 130.3239288330078, 124.92300415039062, 130.2972869873047, 129.6044921875, 126.93744659423828, 133.20457458496094, 133.20457458496094, 126.90562438964844, 130.2549285888672, 132.69705200195312, 132.46424865722656, 128.5308837890625, 132.69705200195312, 126.87271881103516, 132.04727172851562, 123.52855682373047, 132.0864715576172, 128.25880432128906, 127.23966979980469, 132.5039520263672, 129.98696899414062, 130.2549285888672, 129.26002502441406, 130.3406524658203, 131.3416290283203, 126.84886169433594, 132.25738525390625, 126.93744659423828, 124.34019470214844, 125.52355194091797, 129.91087341308594, 126.84886169433594, 124.34019470214844, 129.98696899414062, 130.0101776123047, 126.78559112548828, 132.69705200195312, 124.37379455566406, 133.20457458496094, 125.92276000976562, 126.93744659423828, 129.595703125, 127.95906066894531, 126.69361877441406, 124.34019470214844, 123.17686462402344, 129.595703125, 124.46393585205078, 126.87271881103516, 129.60879516601562, 133.20457458496094, 124.46393585205078, 126.01170349121094, 126.69361877441406, 127.4502944946289, 124.92300415039062]","[245.93495178222656, 257.0316467285156, 317.82598876953125, 232.28797912597656, 239.67788696289062, 240.85040283203125, 283.0973205566406, 253.92715454101562, 240.98313903808594, 244.0483856201172, 262.06396484375, 280.7138366699219, 238.32513427734375, 251.965087890625, 214.540771484375, 256.1698303222656, 242.54067993164062, 217.64627075195312, 284.2678527832031, 284.2678527832031, 232.02137756347656, 244.7982940673828, 250.71510314941406, 240.07376098632812, 245.62313842773438, 250.71510314941406, 213.12744140625, 242.39492797851562, 226.29071044921875, 237.28541564941406, 249.67660522460938, 240.6995849609375, 250.67140197753906, 216.46395874023438, 239.90855407714844, 241.51675415039062, 221.6320037841797, 256.5328369140625, 224.23402404785156, 253.78506469726562, 217.64627075195312, 217.27230834960938, 221.7397003173828, 246.79656982421875, 224.23402404785156, 217.27230834960938, 216.46395874023438, 244.5849609375, 221.44960021972656, 247.77847290039062, 204.0056915283203, 280.7138366699219, 209.82789611816406, 217.64627075195312, 233.6810302734375, 197.77894592285156, 199.40597534179688, 217.2722930908203, 205.16000366210938, 236.14442443847656, 202.07752990722656, 213.12744140625, 213.3305206298828, 280.7138366699219, 202.07752990722656, 210.03773498535156, 199.40597534179688, 199.669189453125, 214.540771484375]"
