node_num_list,all_real_labels_list,all_eval_label_list
50,"[44.696014404296875, 44.24397277832031, 40.09953689575195, 41.21036911010742, 41.433349609375, 41.66564178466797, 39.511474609375, 41.21036911010742, 41.48446273803711, 39.22018814086914, 37.08096694946289, 40.120758056640625, 40.52183151245117, 38.74651336669922, 38.45183181762695, 37.08096694946289, 37.91884231567383, 38.197959899902344, 40.1689567565918, 42.04108428955078, 37.910614013671875, 39.8851203918457, 41.48446273803711, 37.08096694946289, 37.8006477355957, 42.04108428955078, 39.22018814086914, 35.81464767456055, 35.27619171142578, 42.04108428955078, 37.910614013671875]","[250.88478088378906, 263.7547607421875, 244.5885009765625, 244.726806640625, 232.35992431640625, 228.614990234375, 240.64649963378906, 231.57943725585938, 245.66815185546875, 231.20376586914062, 205.98348999023438, 220.42776489257812, 233.61892700195312, 218.80203247070312, 203.79837036132812, 205.98348999023438, 199.288330078125, 199.17391967773438, 217.11279296875, 231.9550323486328, 189.7243194580078, 219.99440002441406, 242.1705322265625, 205.98348999023438, 191.43968200683594, 231.9550323486328, 211.45252990722656, 181.8535919189453, 181.979736328125, 231.9550323486328, 189.7243194580078]"
51,"[48.62940979003906, 51.576717376708984, 49.97474670410156, 47.41183090209961, 48.42997741699219, 48.42997741699219, 47.319515228271484, 48.62940979003906, 47.17181396484375, 45.8595085144043, 45.25923156738281, 46.126766204833984, 46.126766204833984, 45.25923156738281, 48.40630340576172, 46.126766204833984, 47.319515228271484, 48.62940979003906, 46.613059997558594, 43.649803161621094, 46.126766204833984, 48.62940979003906, 44.58634567260742, 47.319515228271484, 46.43284606933594, 48.40630340576172, 47.319515228271484, 46.126766204833984, 48.62940979003906, 46.43284606933594, 48.62940979003906]","[268.2210388183594, 297.48529052734375, 238.30209350585938, 226.90673828125, 227.3286590576172, 230.25465393066406, 225.25856018066406, 272.9347839355469, 231.41766357421875, 221.47775268554688, 205.30987548828125, 219.5265350341797, 219.5265350341797, 205.30987548828125, 235.49278259277344, 222.31588745117188, 228.327392578125, 264.2627258300781, 220.9180450439453, 199.61241149902344, 225.302734375, 264.2627258300781, 187.95068359375, 225.25856018066406, 223.39353942871094, 235.49278259277344, 225.25856018066406, 216.67474365234375, 264.2627258300781, 223.39353942871094, 264.2627258300781]"
52,"[46.250728607177734, 49.0953369140625, 47.665531158447266, 44.78138732910156, 46.07421875, 46.07421875, 44.985286712646484, 46.054195404052734, 44.545127868652344, 43.800960540771484, 42.63509750366211, 43.759002685546875, 43.759002685546875, 42.63509750366211, 46.250728607177734, 43.759002685546875, 44.985286712646484, 46.250728607177734, 43.97337341308594, 42.00983428955078, 43.97337341308594, 46.250728607177734, 39.613460540771484, 41.9712028503418, 44.985286712646484, 46.054195404052734, 44.985286712646484, 43.759002685546875, 44.087528228759766, 41.9712028503418, 44.087528228759766]","[272.7668151855469, 291.640869140625, 239.6775665283203, 227.098388671875, 229.3883056640625, 231.75897216796875, 225.38967895507812, 242.2250213623047, 231.9098663330078, 219.09730529785156, 205.55404663085938, 219.62034606933594, 219.62034606933594, 205.55404663085938, 272.7668151855469, 224.4528045654297, 228.45457458496094, 268.778564453125, 225.6344757080078, 209.28250122070312, 222.43292236328125, 268.778564453125, 191.1979522705078, 193.03515625, 225.38967895507812, 238.68911743164062, 225.38967895507812, 216.77120971679688, 228.70431518554688, 188.2272186279297, 223.39224243164062]"
53,"[49.768245697021484, 47.098873138427734, 46.63178253173828, 46.2298583984375, 45.325706481933594, 45.48860168457031, 46.78030776977539, 44.64006042480469, 44.29401779174805, 43.55345916748047, 43.17458724975586, 46.78030776977539, 46.78030776977539, 43.7685661315918, 42.5177001953125, 43.167354583740234, 46.12546157836914, 41.786102294921875, 44.867835998535156, 43.167354583740234, 43.72705078125, 42.6581916809082, 39.29099655151367, 44.93289566040039, 40.23289108276367, 43.72705078125, 46.78030776977539, 46.78030776977539, 46.78030776977539, 43.72705078125, 43.167354583740234]","[334.09515380859375, 247.2417449951172, 254.54344177246094, 239.85401916503906, 243.9793701171875, 238.98605346679688, 287.34930419921875, 250.10751342773438, 214.29473876953125, 208.7067108154297, 242.04006958007812, 287.34930419921875, 287.34930419921875, 237.8517303466797, 204.8480987548828, 233.60418701171875, 256.541259765625, 200.17874145507812, 247.97518920898438, 233.60418701171875, 206.70919799804688, 193.33123779296875, 182.8922576904297, 250.33523559570312, 182.7781982421875, 206.70919799804688, 287.34930419921875, 287.34930419921875, 287.34930419921875, 203.75650024414062, 233.60418701171875]"
54,"[52.926307678222656, 50.29413986206055, 48.94050979614258, 49.414405822753906, 48.36804962158203, 48.36804962158203, 49.870670318603516, 47.67927551269531, 47.489524841308594, 46.72970962524414, 46.19171142578125, 49.870670318603516, 49.870670318603516, 46.81275939941406, 45.557167053222656, 46.19171142578125, 48.94050979614258, 45.438541412353516, 44.96900177001953, 47.67927551269531, 46.19171142578125, 46.88945770263672, 45.438541412353516, 42.41511535644531, 48.098445892333984, 43.23035430908203, 46.88945770263672, 49.870670318603516, 49.870670318603516, 49.870670318603516, 46.88945770263672, 49.870670318603516]","[339.38690185546875, 246.74652099609375, 252.33059692382812, 240.0981903076172, 243.48434448242188, 246.11328125, 286.1385192871094, 242.44065856933594, 214.540283203125, 208.9581756591797, 242.30477905273438, 286.1385192871094, 286.1385192871094, 238.1175537109375, 205.11029052734375, 244.9220733642578, 258.9034729003906, 187.77381896972656, 200.44480895996094, 251.3395538330078, 244.9220733642578, 206.94775390625, 195.60989379882812, 183.16458129882812, 250.59841918945312, 183.0516815185547, 206.94775390625, 286.1385192871094, 286.1385192871094, 286.1385192871094, 204.0018310546875, 286.13848876953125]"
55,"[52.59996032714844, 55.63936233520508, 54.26387023925781, 51.70182418823242, 52.40218734741211, 52.40218734741211, 51.68010330200195, 52.37441635131836, 51.2601318359375, 50.43480682373047, 49.356990814208984, 50.075775146484375, 52.59996032714844, 50.075775146484375, 49.356990814208984, 52.37441635131836, 50.075775146484375, 51.68010330200195, 50.38534927368164, 50.56752014160156, 48.60368347167969, 50.075775146484375, 52.59996032714844, 46.12038040161133, 48.52399826049805, 51.68010330200195, 50.38534927368164, 52.59996032714844, 50.075775146484375, 52.59996032714844, 52.59996032714844, 49.356990814208984, 52.59996032714844]","[273.29730224609375, 308.95819091796875, 240.38906860351562, 228.1104736328125, 228.69314575195312, 233.0054473876953, 232.74803161621094, 245.78799438476562, 237.16526794433594, 219.5983123779297, 202.75405883789062, 222.271240234375, 269.258056640625, 222.271240234375, 202.75405883789062, 238.0234375, 226.53858947753906, 239.75933837890625, 239.18887329101562, 227.2851104736328, 210.02874755859375, 229.4956817626953, 269.258056640625, 191.95468139648438, 193.80809020996094, 232.74803161621094, 227.52304077148438, 273.29730224609375, 219.42947387695312, 269.258056640625, 269.2580261230469, 202.75404357910156, 269.2580261230469]"
56,"[52.456520080566406, 55.494873046875, 53.90317916870117, 51.36846160888672, 52.2254753112793, 52.2254753112793, 51.221221923828125, 52.22217559814453, 51.36846160888672, 50.54490661621094, 49.90237045288086, 52.456520080566406, 49.90237045288086, 49.373626708984375, 52.22217559814453, 49.90237045288086, 51.221221923828125, 50.24153137207031, 50.65760803222656, 48.713401794433594, 49.90237045288086, 52.456520080566406, 46.24702453613281, 48.45323181152344, 51.221221923828125, 50.24153137207031, 52.456520080566406, 51.221221923828125, 49.90237045288086, 52.456520080566406, 52.456520080566406, 48.45323181152344, 52.456520080566406]","[274.1232604980469, 308.62689208984375, 248.1121368408203, 236.9693603515625, 229.18943786621094, 232.30052185058594, 233.27520751953125, 246.439697265625, 236.61500549316406, 221.80465698242188, 222.4896697998047, 270.0912170410156, 222.4896697998047, 215.4066162109375, 238.68577575683594, 227.1444854736328, 240.5115509033203, 239.38754272460938, 222.5413360595703, 210.27381896972656, 230.09442138671875, 270.0912170410156, 192.20333862304688, 191.6135711669922, 233.27520751953125, 227.73814392089844, 274.1232604980469, 233.27520751953125, 219.6502685546875, 270.0912170410156, 270.0912170410156, 191.6136016845703, 270.0912170410156]"
57,"[49.71952438354492, 52.7114372253418, 56.317115783691406, 52.715274810791016, 53.32485580444336, 50.0966911315918, 50.281227111816406, 49.616546630859375, 53.32485580444336, 50.07101058959961, 50.21839141845703, 50.36337661743164, 48.46372604370117, 48.06370162963867, 53.32485580444336, 51.23625564575195, 48.029579162597656, 48.72595977783203, 46.198062896728516, 53.32485580444336, 49.001407623291016, 49.001407623291016, 47.0855598449707, 50.36337661743164, 53.12712860107422, 53.32485580444336, 53.32485580444336, 51.084598541259766, 47.0855598449707, 46.58534622192383, 47.0855598449707, 53.32485580444336, 47.0855598449707]","[232.65875244140625, 238.90122985839844, 305.6710205078125, 237.91488647460938, 267.96630859375, 262.8057556152344, 225.02272033691406, 275.9715270996094, 259.7640380859375, 230.18075561523438, 236.49652099609375, 233.53021240234375, 210.69139099121094, 198.4772186279297, 259.7640380859375, 223.85104370117188, 199.95208740234375, 207.26995849609375, 183.9696807861328, 263.4565734863281, 195.53363037109375, 195.53363037109375, 228.2753143310547, 233.53021240234375, 237.60862731933594, 259.7640380859375, 259.7640380859375, 227.06500244140625, 228.2753143310547, 184.6079559326172, 231.8099365234375, 259.7640380859375, 228.27532958984375]"
58,"[55.30230712890625, 59.11942672729492, 58.20563507080078, 58.54383087158203, 55.954307556152344, 54.748878479003906, 55.310489654541016, 54.36880111694336, 55.954307556152344, 55.58518981933594, 55.86132049560547, 55.954307556152344, 54.098854064941406, 52.99192428588867, 55.954307556152344, 55.85843276977539, 53.411373138427734, 54.09613800048828, 55.954307556152344, 51.820247650146484, 55.954307556152344, 53.6419677734375, 53.6419677734375, 51.85429382324219, 55.954307556152344, 55.58766174316406, 55.954307556152344, 55.954307556152344, 53.535423278808594, 51.85429382324219, 51.86239242553711, 51.85429382324219, 55.954307556152344, 55.86132049560547]","[247.2309112548828, 349.8440856933594, 264.0686340332031, 263.01226806640625, 287.8891906738281, 243.6261749267578, 215.3234405517578, 267.6020202636719, 278.7365417480469, 217.6922149658203, 219.51715087890625, 278.7365417480469, 239.91098022460938, 200.9327850341797, 278.7365417480469, 228.2655487060547, 203.17189025878906, 209.02792358398438, 278.7365417480469, 184.36160278320312, 282.9967346191406, 227.038330078125, 227.038330078125, 231.28854370117188, 278.7365417480469, 244.38983154296875, 278.7365417480469, 278.7365417480469, 243.1722869873047, 231.28854370117188, 184.8577117919922, 234.81678771972656, 278.7365417480469, 216.34054565429688]"
59,"[52.592872619628906, 55.546390533447266, 52.30083084106445, 55.9265251159668, 49.44895553588867, 54.880977630615234, 53.05221176147461, 50.6159782409668, 49.44895553588867, 52.52955627441406, 53.28594207763672, 47.84380340576172, 53.00310516357422, 51.37062454223633, 50.815860748291016, 49.44895553588867, 52.97829055786133, 51.3099365234375, 50.815860748291016, 49.02466583251953, 49.7320556640625, 50.86460876464844, 49.44895553588867, 47.84380340576172, 47.84380340576172, 49.7320556640625, 47.72254943847656, 49.44895553588867, 47.72254943847656, 47.84380340576172, 47.84380340576172, 49.00384521484375, 53.28594207763672, 47.84380340576172]","[243.39828491210938, 252.67031860351562, 279.15216064453125, 255.25965881347656, 253.70053100585938, 248.3566436767578, 221.02842712402344, 276.5374755859375, 245.66796875, 223.7779998779297, 228.7293243408203, 231.0174560546875, 253.59768676757812, 216.6930694580078, 200.43820190429688, 245.66796875, 240.74423217773438, 210.56057739257812, 203.14312744140625, 184.4811553955078, 228.68336486816406, 208.4925079345703, 245.66796875, 231.0174560546875, 231.0174560546875, 232.06077575683594, 212.46487426757812, 245.66796875, 217.54136657714844, 231.0174560546875, 234.60279846191406, 182.57766723632812, 225.5561065673828, 231.0174560546875]"
