node_num_list,all_real_labels_list,all_eval_label_list
50,"[46.69284439086914, 50.67514419555664, 56.200218200683594, 46.5659065246582, 47.276329040527344, 49.31284713745117, 44.607784271240234, 46.15217971801758, 47.32695388793945, 43.91850662231445, 44.50297164916992, 45.039859771728516, 42.502349853515625, 48.4825439453125, 52.08966064453125, 52.07904052734375, 46.170013427734375, 51.39345169067383, 50.84069061279297, 44.776039123535156, 50.54762268066406, 49.24258804321289, 48.728981018066406, 45.669918060302734, 43.933990478515625, 42.4991455078125, 41.49911117553711, 44.04179382324219, 40.77098083496094, 46.63902282714844, 38.126380920410156, 44.04179382324219, 40.01200485229492, 41.073211669921875, 47.66853332519531, 46.414146423339844, 49.05778884887695, 44.04179382324219]","[201.59181213378906, 199.6758575439453, 200.244384765625, 201.0426788330078, 189.1145477294922, 194.49380493164062, 194.9918212890625, 186.176513671875, 187.6199951171875, 190.76034545898438, 182.39776611328125, 173.2353973388672, 183.23672485351562, 193.0682373046875, 194.04611206054688, 194.0105743408203, 173.31031799316406, 188.38735961914062, 189.41397094726562, 191.93063354492188, 185.96624755859375, 185.89718627929688, 184.10060119628906, 170.8583984375, 180.62857055664062, 176.14889526367188, 185.00860595703125, 184.4774932861328, 181.77410888671875, 178.4263153076172, 167.1064453125, 182.1233367919922, 168.64715576171875, 167.11392211914062, 170.9571075439453, 168.59707641601562, 181.54238891601562, 182.12332153320312]"
51,"[54.5914306640625, 47.0938606262207, 49.34893798828125, 51.13078689575195, 46.67976760864258, 48.63213348388672, 51.08053970336914, 43.758941650390625, 43.54982376098633, 42.28158950805664, 42.95730972290039, 41.49247741699219, 48.48733139038086, 41.039066314697266, 48.65382385253906, 47.36912155151367, 40.465091705322266, 46.99028015136719, 47.502933502197266, 45.68257522583008, 46.02735137939453, 46.80730056762695, 43.22602081298828, 43.311302185058594, 43.311302185058594, 48.48733139038086, 46.80730056762695, 48.740360260009766, 45.68257522583008, 46.80730056762695, 43.22602081298828, 38.95170593261719, 37.584510803222656, 41.180816650390625, 51.75111389160156, 51.75111389160156]","[206.6420440673828, 204.16513061523438, 199.5410919189453, 200.09730529785156, 201.69985961914062, 192.4232635498047, 202.8410186767578, 197.7354736328125, 192.72879028320312, 190.30072021484375, 187.53697204589844, 185.55882263183594, 188.29603576660156, 184.11614990234375, 200.99310302734375, 190.9154815673828, 182.4179229736328, 195.01788330078125, 187.00733947753906, 185.57290649414062, 190.09434509277344, 185.2022705078125, 170.3611602783203, 174.34857177734375, 174.34857177734375, 185.4772491455078, 185.2022705078125, 186.61727905273438, 185.57290649414062, 183.1535186767578, 170.3611602783203, 168.940673828125, 168.95974731445312, 182.08192443847656, 188.90150451660156, 188.90150451660156]"
52,"[44.406150817871094, 47.83066177368164, 46.31710433959961, 42.399532318115234, 50.07408905029297, 43.35751724243164, 53.755462646484375, 48.32756042480469, 51.06132888793945, 49.50775909423828, 47.69236373901367, 49.487525939941406, 45.965057373046875, 46.92161178588867, 43.34458541870117, 45.68064880371094, 43.34458541870117, 41.743927001953125, 45.12272262573242, 40.92790222167969, 42.27416229248047, 43.85499954223633, 42.782222747802734, 45.051292419433594, 40.50315856933594, 39.98150634765625, 45.65997314453125, 39.87864685058594, 46.00784683227539, 37.124446868896484, 43.441978454589844, 46.89675521850586, 42.246673583984375, 39.98150634765625, 40.92790222167969, 39.845069885253906, 41.743927001953125, 47.17965316772461]","[199.95838928222656, 203.5568084716797, 199.3774871826172, 189.96176147460938, 197.3763427734375, 192.85772705078125, 198.9812469482422, 188.3334503173828, 183.51492309570312, 193.95175170898438, 196.84152221679688, 192.64158630371094, 198.94866943359375, 189.36746215820312, 192.53610229492188, 188.1781005859375, 197.1060028076172, 183.2174072265625, 185.25062561035156, 175.98439025878906, 171.67623901367188, 186.83370971679688, 191.76878356933594, 181.4702606201172, 186.27906799316406, 176.33937072753906, 188.508544921875, 182.7183074951172, 170.7894744873047, 169.26528930664062, 172.54327392578125, 174.52838134765625, 186.52638244628906, 176.33937072753906, 177.6112518310547, 171.62429809570312, 183.21739196777344, 199.54591369628906]"
53,"[57.637271881103516, 54.6215705871582, 50.999969482421875, 53.04640579223633, 55.069801330566406, 49.2547492980957, 46.92280578613281, 48.16689682006836, 50.1123161315918, 46.13943099975586, 45.733612060546875, 48.889469146728516, 43.77396011352539, 47.403839111328125, 43.06660842895508, 54.27609634399414, 50.399776458740234, 40.35244369506836, 53.6129035949707, 47.5843505859375, 48.38869857788086, 52.717750549316406, 45.79365921020508, 50.028602600097656, 50.028602600097656, 44.87407684326172, 48.38869857788086, 46.336647033691406, 44.87407684326172, 44.769168853759766, 47.89159393310547, 42.219017028808594, 43.115779876708984, 44.73652267456055, 52.13932800292969, 42.329734802246094, 54.82645797729492, 54.82645797729492]","[206.7248077392578, 199.3407440185547, 202.39492797851562, 198.55148315429688, 202.01058959960938, 199.96334838867188, 195.00341796875, 196.83172607421875, 195.20046997070312, 191.94122314453125, 180.21456909179688, 191.79986572265625, 187.4691162109375, 188.16696166992188, 185.85549926757812, 199.59661865234375, 194.0936279296875, 171.98094177246094, 195.17628479003906, 189.73780822753906, 188.33950805664062, 190.67660522460938, 189.16712951660156, 175.228271484375, 175.228271484375, 173.0958709716797, 186.30751037597656, 176.9959259033203, 173.0958709716797, 185.0002899169922, 176.08311462402344, 171.10935974121094, 173.3248748779297, 183.93838500976562, 183.44363403320312, 171.03318786621094, 191.2289276123047, 191.2289276123047]"
54,"[54.35731887817383, 49.906494140625, 56.275230407714844, 49.74900436401367, 48.57893753051758, 58.222381591796875, 54.41180419921875, 51.26746368408203, 49.59334182739258, 48.902076721191406, 51.35446548461914, 47.611610412597656, 53.84321212768555, 49.11174392700195, 46.02079391479492, 53.346527099609375, 46.75830078125, 51.50859451293945, 55.334129333496094, 50.819091796875, 50.26799774169922, 52.91239929199219, 47.85190200805664, 45.21931838989258, 52.08150863647461, 47.199771881103516, 43.80097579956055, 46.23199462890625, 48.78989791870117, 47.527191162109375, 47.38876724243164, 46.23199462890625, 50.819091796875, 48.78989791870117, 47.353477478027344, 45.335655212402344, 52.91239929199219, 47.353477478027344]","[207.8616180419922, 199.56602478027344, 206.0512237548828, 199.824462890625, 192.2064208984375, 203.76791381835938, 196.04605102539062, 196.61587524414062, 194.67955017089844, 182.0894317626953, 194.04254150390625, 189.75904846191406, 194.94320678710938, 189.8516845703125, 186.15057373046875, 190.49774169921875, 177.4193572998047, 198.41201782226562, 194.23533630371094, 171.77622985839844, 189.49876403808594, 177.6107635498047, 170.8863067626953, 174.48867797851562, 174.37013244628906, 177.6817169189453, 172.6597137451172, 177.12083435058594, 177.04115295410156, 185.17010498046875, 183.35411071777344, 175.4582061767578, 173.43841552734375, 177.04115295410156, 184.4038848876953, 169.9222412109375, 177.6107635498047, 184.40386962890625]"
55,"[59.057857513427734, 54.235958099365234, 55.866512298583984, 54.79269027709961, 56.105403900146484, 51.51479721069336, 53.536468505859375, 52.49970626831055, 52.65176773071289, 51.51479721069336, 50.38895034790039, 52.491920471191406, 52.553192138671875, 55.866512298583984, 50.03750228881836, 51.731170654296875, 53.507102966308594, 49.17387008666992, 49.17387008666992, 53.53547286987305, 50.182640075683594, 53.54943084716797, 47.543373107910156, 50.357486724853516, 51.66569519042969, 49.17387008666992, 49.13899612426758, 52.44538879394531, 49.17387008666992, 46.76253128051758, 53.507102966308594, 53.507102966308594, 53.507102966308594, 50.568321228027344, 48.05622100830078, 47.80219650268555, 51.374698638916016, 52.44538879394531, 51.00814437866211]","[203.15634155273438, 198.228515625, 193.580810546875, 204.79417419433594, 201.18064880371094, 192.65684509277344, 197.67800903320312, 197.2971649169922, 195.13873291015625, 192.65684509277344, 184.5213165283203, 189.103515625, 197.9650421142578, 196.491455078125, 173.4996337890625, 194.74154663085938, 179.873046875, 176.22332763671875, 176.22332763671875, 190.2529754638672, 191.58775329589844, 189.93222045898438, 177.89682006835938, 182.05001831054688, 182.444580078125, 176.22332763671875, 184.38858032226562, 189.32960510253906, 176.22332763671875, 169.93617248535156, 175.86561584472656, 175.86561584472656, 179.873046875, 180.6031494140625, 168.53988647460938, 167.0469970703125, 170.394775390625, 187.1056365966797, 184.16725158691406]"
56,"[54.2800178527832, 49.47199630737305, 50.567710876464844, 45.8687744140625, 52.229400634765625, 47.76508712768555, 48.020050048828125, 45.3862419128418, 48.92030715942383, 46.675418853759766, 46.53667449951172, 44.333919525146484, 48.83846664428711, 45.54085159301758, 42.21369171142578, 45.940799713134766, 45.45118713378906, 39.9180793762207, 45.445884704589844, 43.35250473022461, 45.771121978759766, 41.066871643066406, 44.699195861816406, 47.793601989746094, 42.05799865722656, 45.605648040771484, 48.15450668334961, 44.300537109375, 46.07423782348633, 46.86674118041992, 42.96440124511719, 45.95859909057617, 46.07423782348633, 41.826053619384766, 42.05799865722656, 43.013553619384766, 43.48031997680664, 51.635528564453125]","[211.3363494873047, 202.14540100097656, 203.00233459472656, 198.763671875, 208.23330688476562, 198.08497619628906, 197.34317016601562, 192.9148712158203, 201.75982666015625, 190.5578155517578, 189.60418701171875, 192.3902130126953, 202.83126831054688, 196.52029418945312, 184.9381866455078, 199.08782958984375, 190.8596954345703, 171.82272338867188, 184.59593200683594, 183.9227752685547, 197.6541748046875, 170.4958038330078, 190.13043212890625, 190.8804168701172, 173.3732147216797, 180.17584228515625, 192.77169799804688, 172.7598419189453, 183.28814697265625, 188.3645477294922, 175.23484802246094, 174.09425354003906, 183.28814697265625, 175.83773803710938, 173.3732147216797, 169.03616333007812, 179.0854034423828, 199.0929718017578]"
57,"[63.5457649230957, 57.97313690185547, 56.89115905761719, 59.7371826171875, 58.94328689575195, 56.52983856201172, 55.95430374145508, 58.15829849243164, 56.63119888305664, 55.06196212768555, 55.849884033203125, 57.251773834228516, 54.101383209228516, 53.444698333740234, 60.78429412841797, 59.084388732910156, 53.451290130615234, 57.15985870361328, 57.110198974609375, 54.95112609863281, 57.33330154418945, 51.216983795166016, 56.03748321533203, 54.602142333984375, 51.96480178833008, 57.110198974609375, 54.588260650634766, 57.15985870361328, 55.49427032470703, 52.39365005493164, 54.95112609863281, 52.705318450927734, 53.60713195800781, 54.73965835571289, 57.110198974609375, 54.73965835571289, 54.73965835571289, 53.451290130615234, 55.49427032470703]","[208.33876037597656, 199.6214599609375, 202.10406494140625, 201.2590789794922, 200.0654754638672, 194.27645874023438, 200.38070678710938, 195.47299194335938, 183.9252471923828, 189.91639709472656, 184.77455139160156, 192.27438354492188, 194.236328125, 184.91387939453125, 200.3831024169922, 197.1286163330078, 181.2316131591797, 190.4515838623047, 185.90234375, 171.8922576904297, 194.25469970703125, 171.92578125, 186.68434143066406, 187.96322631835938, 182.78358459472656, 183.84886169433594, 187.94927978515625, 188.6638641357422, 185.1594696044922, 171.9898223876953, 169.2033233642578, 173.12217712402344, 171.47227478027344, 173.83273315429688, 183.84886169433594, 173.83273315429688, 173.8327178955078, 181.2316131591797, 183.2153778076172]"
58,"[61.404022216796875, 56.57819747924805, 56.471553802490234, 55.365631103515625, 58.49753952026367, 54.62841033935547, 55.49524688720703, 55.454429626464844, 52.27925491333008, 53.94960403442383, 50.7513542175293, 58.73963165283203, 50.13564682006836, 49.61873245239258, 53.63011169433594, 48.681190490722656, 52.09159469604492, 47.10813903808594, 47.10813903808594, 47.06922149658203, 53.92566680908203, 44.8004264831543, 51.466033935546875, 51.29485321044922, 53.26567459106445, 51.66752243041992, 51.13052749633789, 56.557125091552734, 44.8004264831543, 52.27925491333008, 52.85603332519531, 48.4234619140625, 48.4234619140625, 49.90034484863281, 50.13564682006836, 53.073341369628906, 54.2431640625, 58.49753952026367, 58.49753952026367]","[213.39022827148438, 202.1200714111328, 206.6687774658203, 200.7421875, 198.17288208007812, 200.10166931152344, 204.31646728515625, 196.37257385253906, 193.70452880859375, 197.02032470703125, 193.85781860351562, 197.49014282226562, 178.61581420898438, 196.51895141601562, 198.18930053710938, 195.66294860839844, 188.6779327392578, 188.982666015625, 192.87767028808594, 180.77105712890625, 188.7749786376953, 172.48867797851562, 180.17967224121094, 183.02088928222656, 193.32676696777344, 173.779052734375, 174.313720703125, 183.29180908203125, 178.34823608398438, 189.8199005126953, 189.17434692382812, 177.46621704101562, 177.46621704101562, 172.3709259033203, 172.77244567871094, 177.92236328125, 190.3140869140625, 195.80638122558594, 195.80638122558594]"
59,"[69.4410629272461, 64.02302551269531, 64.21644592285156, 64.39286804199219, 62.187870025634766, 62.23078536987305, 63.1023063659668, 61.696563720703125, 60.81428146362305, 60.96223068237305, 61.96549606323242, 59.63614273071289, 62.5305061340332, 60.654754638671875, 60.83129119873047, 57.187049865722656, 60.14299011230469, 58.29152297973633, 58.29152297973633, 56.31950378417969, 61.46769332885742, 61.52750015258789, 55.7732048034668, 58.491641998291016, 59.16596221923828, 60.015907287597656, 53.05897903442383, 58.05538558959961, 61.46769332885742, 59.81467056274414, 55.71932601928711, 62.124664306640625, 61.696563720703125, 57.0325813293457, 59.90869140625, 54.530357360839844, 61.81962585449219, 60.14299011230469, 57.686927795410156, 59.59477615356445, 66.60419464111328]","[210.309326171875, 203.3447723388672, 202.74652099609375, 207.02511596679688, 201.49635314941406, 193.60430908203125, 196.21958923339844, 200.0537567138672, 195.65676879882812, 186.680908203125, 204.55300903320312, 191.54898071289062, 195.92767333984375, 178.75836181640625, 199.9594268798828, 177.3902587890625, 179.86004638671875, 191.99392700195312, 193.54579162597656, 189.8250274658203, 186.7058868408203, 188.19850158691406, 188.2550811767578, 169.91294860839844, 173.93109130859375, 187.04136657714844, 175.8308868408203, 185.67666625976562, 188.71022033691406, 183.60276794433594, 171.38375854492188, 194.59080505371094, 191.98985290527344, 186.15927124023438, 176.4325408935547, 170.95993041992188, 186.8816375732422, 178.2458953857422, 171.41754150390625, 187.38746643066406, 201.48780822753906]"
