node_num_list,all_real_labels_list,all_eval_label_list
100,"[95.74067687988281, 89.50297546386719, 88.08895111083984, 93.72801208496094, 87.966064453125, 86.3757553100586, 82.19922637939453, 85.03742218017578, 86.01483917236328, 86.7572250366211, 92.91305541992188, 81.96647644042969, 80.55669403076172, 86.03968811035156, 92.76129913330078, 86.9529800415039, 85.1434555053711, 86.71354675292969, 90.94824981689453, 83.71968841552734, 92.76129913330078, 86.9529800415039, 85.1434555053711, 82.35752868652344, 92.76129913330078, 78.1698226928711, 85.30632019042969, 86.60795593261719, 83.43868255615234, 83.43868255615234, 85.30632019042969, 78.1698226928711, 79.67335510253906, 90.76382446289062, 90.94824981689453, 92.76129913330078, 83.71968841552734, 84.62914276123047, 79.67335510253906, 85.29875183105469, 83.43868255615234, 79.67335510253906, 85.29875183105469, 82.35752868652344, 85.1434555053711, 85.29875183105469, 86.60795593261719, 79.6354751586914, 85.30632019042969, 90.94824981689453, 92.76129913330078, 85.29875183105469]","[277.4276123046875, 265.3914794921875, 319.8085021972656, 298.93017578125, 264.2922668457031, 250.45249938964844, 215.36012268066406, 227.0921630859375, 234.1305389404297, 207.3326873779297, 197.24050903320312, 231.15672302246094, 210.67947387695312, 195.84912109375, 209.07533264160156, 228.76246643066406, 185.42250061035156, 202.51171875, 202.5388946533203, 210.46112060546875, 258.0894470214844, 186.23602294921875, 188.52857971191406, 209.0881805419922, 256.9097595214844, 186.24420166015625, 209.4774169921875, 198.1018524169922, 256.915771484375, 184.69869995117188, 196.252197265625, 184.70132446289062, 215.97251892089844, 185.4240264892578, 245.1746368408203, 240.45028686523438, 184.62835693359375, 184.69647216796875, 184.6983642578125, 196.25375366210938, 187.50082397460938, 222.14585876464844, 245.09300231933594, 245.17872619628906, 220.47474670410156, 184.69305419921875, 205.8670654296875, 208.78472900390625, 185.4209747314453, 234.856201171875, 200.62757873535156, 187.49520874023438]"
101,"[95.21310424804688, 96.18795013427734, 89.2618179321289, 92.12903594970703, 92.6168212890625, 90.7911376953125, 90.18162536621094, 92.41134643554688, 88.25118255615234, 89.88384246826172, 89.47077178955078, 89.21495056152344, 89.75931549072266, 88.25118255615234, 91.97152709960938, 92.01385498046875, 89.36212158203125, 93.09141540527344, 89.72342681884766, 89.72342681884766, 89.36212158203125, 89.72342681884766, 89.65441131591797, 89.72342681884766, 88.13569641113281, 92.228759765625, 86.94386291503906, 92.228759765625, 86.94386291503906, 87.84444427490234, 89.34741973876953, 88.13569641113281, 93.2062759399414, 89.65441131591797, 87.76040649414062, 93.2062759399414, 92.228759765625, 86.14066314697266, 86.96498107910156, 89.34741973876953, 93.2062759399414, 87.11854553222656, 93.2062759399414, 89.36212158203125, 86.14066314697266, 89.75931549072266, 86.96498107910156, 90.97601318359375, 87.84444427490234, 89.36212158203125, 92.228759765625, 89.72342681884766, 86.96498107910156]","[268.61505126953125, 335.6968688964844, 307.0811767578125, 266.4552917480469, 314.0567932128906, 268.7272644042969, 208.3093719482422, 275.9237365722656, 314.9966735839844, 286.4836730957031, 228.2186737060547, 227.38084411621094, 225.85061645507812, 214.24969482421875, 232.97891235351562, 242.5265350341797, 220.7071990966797, 228.86070251464844, 183.6458282470703, 222.23915100097656, 198.60264587402344, 207.24993896484375, 220.9799346923828, 207.40585327148438, 185.79681396484375, 191.50079345703125, 206.8450469970703, 195.43032836914062, 194.9803924560547, 212.31991577148438, 252.4137420654297, 191.50502014160156, 183.62643432617188, 185.7755889892578, 201.78707885742188, 192.993408203125, 206.68173217773438, 183.6342315673828, 191.5060272216797, 207.2501220703125, 192.99343872070312, 218.3902130126953, 194.97557067871094, 185.77536010742188, 210.9285125732422, 234.16529846191406, 194.98052978515625, 196.38047790527344, 191.50680541992188, 201.78416442871094, 194.97567749023438, 210.42550659179688, 252.41665649414062]"
102,"[97.88842010498047, 106.2575454711914, 103.53609466552734, 100.27510070800781, 100.25643920898438, 100.22476959228516, 96.09226989746094, 98.29195404052734, 95.70648193359375, 94.08008575439453, 94.9401626586914, 94.62877655029297, 97.80565643310547, 103.23728942871094, 94.9401626586914, 100.4303970336914, 97.70478820800781, 100.4303970336914, 95.72844696044922, 100.4303970336914, 94.0604248046875, 91.8462142944336, 97.44778442382812, 94.62877655029297, 103.19096374511719, 94.62877655029297, 100.4303970336914, 93.28184509277344, 100.87843322753906, 94.62877655029297, 97.8425521850586, 94.62877655029297, 103.19096374511719, 92.84661865234375, 103.19096374511719, 94.62877655029297, 94.62877655029297, 100.87843322753906, 95.61228942871094, 103.19096374511719, 97.70478820800781, 97.8425521850586, 97.44778442382812, 93.35892486572266, 92.84661865234375, 93.35892486572266, 103.19096374511719, 105.36610412597656, 97.70478820800781, 93.35892486572266, 97.44778442382812, 91.76506042480469, 100.4303970336914, 94.62877655029297, 103.19096374511719]","[263.1949462890625, 251.9457244873047, 291.2974853515625, 268.2322692871094, 249.22372436523438, 236.73367309570312, 232.73934936523438, 214.13601684570312, 263.63037109375, 225.51295471191406, 252.3809051513672, 254.7930908203125, 209.4873046875, 214.99517822265625, 203.138427734375, 218.5410919189453, 214.9722442626953, 221.42506408691406, 227.71250915527344, 202.361083984375, 274.1448669433594, 195.66127014160156, 222.80523681640625, 196.98114013671875, 278.5611267089844, 201.9412841796875, 219.08346557617188, 217.6317596435547, 230.15512084960938, 195.8098602294922, 214.45680236816406, 212.17703247070312, 231.03598022460938, 195.81314086914062, 201.93902587890625, 188.872802734375, 210.9161376953125, 196.98175048828125, 196.9807891845703, 195.80758666992188, 196.979736328125, 195.80824279785156, 215.8271942138672, 185.0536651611328, 198.93701171875, 201.94210815429688, 223.0957794189453, 207.22805786132812, 195.8079833984375, 201.94210815429688, 196.9783935546875, 188.87698364257812, 226.832275390625, 198.93455505371094, 217.62863159179688]"
103,"[100.0481948852539, 105.34477233886719, 100.18832397460938, 105.3454818725586, 99.89021301269531, 98.28727722167969, 97.83631896972656, 95.720947265625, 100.63624572753906, 97.76319885253906, 102.71448516845703, 93.91063690185547, 96.21751403808594, 97.48719024658203, 95.32389068603516, 92.44123077392578, 95.2940444946289, 97.39671325683594, 97.48719024658203, 94.0082778930664, 95.2940444946289, 102.3212890625, 97.22347259521484, 97.19219970703125, 102.3212890625, 93.47372436523438, 97.5660171508789, 97.22347259521484, 91.48235321044922, 97.1559066772461, 95.37310791015625, 97.5660171508789, 97.1559066772461, 102.78638458251953, 95.25699615478516, 95.720947265625, 97.1559066772461, 93.47372436523438, 90.15309143066406, 97.5660171508789, 97.5660171508789, 91.8177261352539, 100.24617767333984, 102.3212890625, 100.4542007446289, 97.19219970703125, 95.32389068603516, 97.1559066772461, 102.3212890625, 97.5660171508789, 97.22347259521484, 97.19219970703125, 95.2940444946289, 95.37310791015625, 95.720947265625, 97.1559066772461]","[299.41961669921875, 254.18734741210938, 261.3600769042969, 248.09518432617188, 223.24710083007812, 262.5357360839844, 213.92694091796875, 238.64549255371094, 280.537109375, 223.5247344970703, 205.43951416015625, 257.1407470703125, 254.67181396484375, 196.97793579101562, 207.22315979003906, 206.99339294433594, 203.75848388671875, 229.75146484375, 210.54425048828125, 240.9303741455078, 279.74664306640625, 192.2995147705078, 197.5465087890625, 239.74671936035156, 217.53836059570312, 260.6210632324219, 235.7827606201172, 200.43856811523438, 235.78817749023438, 186.89828491210938, 221.35630798339844, 200.4412078857422, 210.05056762695312, 187.07037353515625, 203.00335693359375, 196.9758758544922, 187.0714111328125, 188.0182342529297, 230.7211151123047, 235.73423767089844, 213.67359924316406, 294.8933410644531, 192.6956024169922, 219.84701538085938, 212.93728637695312, 203.00015258789062, 207.38475036621094, 189.09361267089844, 200.43655395507812, 213.67359924316406, 236.1979217529297, 208.33062744140625, 220.4549102783203, 196.9788818359375, 200.44117736816406, 215.4297332763672]"
104,"[103.31253051757812, 99.45671081542969, 105.35619354248047, 99.63969421386719, 98.35636138916016, 99.52510833740234, 97.10739135742188, 99.55093383789062, 100.32489776611328, 102.17381286621094, 96.06623840332031, 98.15392303466797, 98.83954620361328, 97.19947814941406, 95.88333129882812, 100.28182220458984, 101.77616119384766, 96.62120056152344, 95.77870178222656, 96.700439453125, 102.17381286621094, 99.59459686279297, 97.32568359375, 97.96084594726562, 95.6415023803711, 95.6415023803711, 96.700439453125, 102.75341796875, 102.17381286621094, 93.66490936279297, 100.28182220458984, 97.01112365722656, 96.700439453125, 95.43058013916016, 96.98171997070312, 96.62120056152344, 95.6415023803711, 96.98171997070312, 97.01112365722656, 96.700439453125, 102.17381286621094, 100.28182220458984, 93.66490936279297, 102.17381286621094, 94.86543273925781, 96.62120056152344, 93.50296783447266, 96.62120056152344, 96.3994140625, 93.58513641357422, 100.28182220458984, 95.43058013916016, 95.6415023803711, 95.17478942871094, 100.28182220458984, 96.700439453125]","[269.4085693359375, 240.58050537109375, 274.6405029296875, 250.34507751464844, 242.8612060546875, 235.13609313964844, 227.35147094726562, 238.54148864746094, 213.2947235107422, 228.78970336914062, 228.5711212158203, 236.43557739257812, 239.85186767578125, 244.7448272705078, 214.884765625, 215.39588928222656, 229.5715789794922, 190.51898193359375, 242.1583251953125, 196.06417846679688, 262.08770751953125, 207.070068359375, 238.47872924804688, 242.66128540039062, 209.02987670898438, 198.92030334472656, 197.6331787109375, 215.55819702148438, 213.2359161376953, 208.06822204589844, 239.89852905273438, 185.3153533935547, 191.2498779296875, 211.80657958984375, 207.99159240722656, 211.80499267578125, 208.0663604736328, 190.3153076171875, 218.39480590820312, 185.315673828125, 209.7641143798828, 198.91551208496094, 224.29254150390625, 218.41360473632812, 185.32125854492188, 196.63038635253906, 249.37098693847656, 198.91758728027344, 196.5064239501953, 209.03184509277344, 218.41444396972656, 198.91929626464844, 185.31906127929688, 192.96286010742188, 221.29014587402344, 208.06297302246094]"
105,"[97.77952575683594, 95.95464324951172, 101.8259048461914, 106.18109130859375, 98.65716552734375, 100.17670440673828, 95.8203353881836, 93.20177459716797, 98.14328002929688, 100.35888671875, 95.42464447021484, 93.63338470458984, 92.84664154052734, 95.71910858154297, 95.82831573486328, 93.00282287597656, 97.82813262939453, 103.15689086914062, 92.90604400634766, 97.65097045898438, 92.84664154052734, 97.3549575805664, 103.15689086914062, 95.75601196289062, 91.45976257324219, 95.07037353515625, 93.5987777709961, 97.3549575805664, 92.84664154052734, 103.15689086914062, 89.14139556884766, 90.84654998779297, 95.82831573486328, 99.13300323486328, 94.95661926269531, 93.07654571533203, 94.95661926269531, 93.00282287597656, 103.15689086914062, 103.15689086914062, 90.770263671875, 90.770263671875, 99.13300323486328, 95.65313720703125, 94.95661926269531, 92.96585083007812, 97.65097045898438, 95.75601196289062, 90.84654998779297, 97.3549575805664, 93.11920928955078, 93.11920928955078, 93.00282287597656, 97.3549575805664, 90.770263671875, 91.42402648925781, 99.13300323486328]","[284.8836364746094, 295.55902099609375, 272.603515625, 312.2853088378906, 269.3680725097656, 290.3382263183594, 231.29002380371094, 278.9328918457031, 223.96414184570312, 297.35552978515625, 215.87132263183594, 247.4190673828125, 228.72720336914062, 226.76707458496094, 216.9234161376953, 222.37042236328125, 197.7551727294922, 192.79702758789062, 219.11155700683594, 216.96435546875, 207.79281616210938, 204.73367309570312, 242.6640167236328, 195.55587768554688, 261.85260009765625, 199.245361328125, 190.716796875, 224.8272247314453, 199.83836364746094, 195.54873657226562, 190.72262573242188, 268.123291015625, 279.4419250488281, 194.85104370117188, 195.55010986328125, 185.5396270751953, 242.6652069091797, 204.73651123046875, 218.80328369140625, 287.5814208984375, 208.8223876953125, 190.71815490722656, 233.0117950439453, 218.47842407226562, 235.34950256347656, 213.376953125, 213.77120971679688, 207.01739501953125, 213.38226318359375, 193.9749755859375, 256.4525451660156, 195.55364990234375, 194.8528289794922, 207.01206970214844, 185.5476837158203, 194.85740661621094, 230.8903350830078]"
106,"[96.54932403564453, 96.5550765991211, 94.28749084472656, 100.89920806884766, 94.36848449707031, 92.00476837158203, 88.23432922363281, 90.45283508300781, 91.22240447998047, 88.4893798828125, 92.07022857666016, 93.46128845214844, 93.16902923583984, 86.11886596679688, 91.13311767578125, 91.60264587402344, 93.73637390136719, 90.1715087890625, 91.68446350097656, 89.01203918457031, 91.62479400634766, 97.87764739990234, 89.50114440917969, 91.55013275146484, 93.72321319580078, 89.50114440917969, 89.6592788696289, 89.56465148925781, 89.3798599243164, 93.86845397949219, 91.60264587402344, 91.60264587402344, 89.6592788696289, 97.87764739990234, 90.62553405761719, 86.84432983398438, 87.75577545166016, 91.55013275146484, 93.86845397949219, 97.87764739990234, 91.55013275146484, 87.66606140136719, 90.9147720336914, 97.87764739990234, 93.72321319580078, 90.62553405761719, 90.9147720336914, 93.72321319580078, 89.50114440917969, 97.87764739990234, 87.75577545166016, 87.66606140136719, 88.4893798828125, 87.75577545166016, 88.4893798828125]","[344.8350524902344, 280.17657470703125, 240.20912170410156, 291.0317077636719, 278.3318786621094, 249.6322479248047, 227.47471618652344, 231.85623168945312, 258.67578125, 194.6668701171875, 241.65536499023438, 202.8476104736328, 238.05824279785156, 212.0096893310547, 206.01055908203125, 252.94381713867188, 325.397216796875, 225.26370239257812, 200.84237670898438, 208.9566192626953, 257.5916442871094, 223.051025390625, 193.3125, 193.30886840820312, 223.05206298828125, 190.30133056640625, 218.0068359375, 219.33566284179688, 204.18649291992188, 210.61695861816406, 185.61647033691406, 223.0525360107422, 203.07083129882812, 259.71038818359375, 190.2996826171875, 228.25941467285156, 244.4022216796875, 262.25384521484375, 193.306884765625, 253.4864044189453, 187.88575744628906, 189.89170837402344, 212.82334899902344, 193.306884765625, 262.25335693359375, 204.72067260742188, 209.156494140625, 219.57025146484375, 234.1078643798828, 201.38731384277344, 209.1575469970703, 204.18875122070312, 215.74745178222656, 187.88751220703125, 201.39401245117188]"
107,"[105.76470184326172, 101.1522445678711, 105.78689575195312, 107.84495544433594, 101.77082824707031, 98.89686584472656, 98.65666961669922, 100.18768310546875, 100.80570983886719, 99.05048370361328, 98.1120376586914, 105.22942352294922, 102.10812377929688, 101.6993408203125, 102.10812377929688, 99.59191131591797, 98.15104675292969, 102.47377014160156, 98.92337036132812, 102.70259857177734, 99.62867736816406, 98.92337036132812, 104.94184112548828, 104.94184112548828, 96.08586120605469, 102.47377014160156, 102.47377014160156, 98.6336441040039, 102.70259857177734, 102.70259857177734, 98.92337036132812, 99.97128295898438, 95.88821411132812, 99.97128295898438, 104.94184112548828, 96.08586120605469, 97.37300872802734, 98.6336441040039, 102.47377014160156, 96.08586120605469, 104.94184112548828, 102.70259857177734, 96.6930923461914, 102.47377014160156, 101.66409301757812, 95.67271423339844, 102.67915344238281, 96.81511688232422, 98.6336441040039, 102.70259857177734, 98.468505859375, 102.67915344238281, 102.47377014160156, 98.92337036132812, 102.67915344238281, 102.70259857177734]","[380.00726318359375, 257.88818359375, 403.350341796875, 286.4856262207031, 241.52972412109375, 206.32064819335938, 269.4508056640625, 219.0407257080078, 251.00074768066406, 250.83853149414062, 254.9228057861328, 236.62167358398438, 201.962646484375, 205.37106323242188, 254.9209442138672, 204.323974609375, 292.6230773925781, 227.01661682128906, 195.4279327392578, 199.34417724609375, 200.52725219726562, 216.30874633789062, 209.42355346679688, 196.18463134765625, 235.88282775878906, 192.263427734375, 190.67709350585938, 211.18780517578125, 190.67822265625, 214.91436767578125, 239.1433563232422, 192.26632690429688, 224.5712890625, 242.57571411132812, 222.96893310546875, 238.70867919921875, 213.20965576171875, 197.62570190429688, 242.72921752929688, 235.88282775878906, 196.18463134765625, 186.63067626953125, 198.0986328125, 192.263427734375, 191.77120971679688, 218.8373565673828, 235.88111877441406, 232.38388061523438, 186.63189697265625, 211.1865234375, 198.74066162109375, 211.1883087158203, 220.8099822998047, 197.6287078857422, 284.4068908691406, 211.1865234375]"
108,"[107.75672149658203, 110.0915298461914, 98.71154022216797, 104.7412109375, 100.78801727294922, 98.38240051269531, 100.20633697509766, 97.76139831542969, 95.98255157470703, 107.1739501953125, 102.09420013427734, 104.42769622802734, 97.9413070678711, 95.47525024414062, 104.80762481689453, 102.09420013427734, 97.76139831542969, 95.6822738647461, 100.66910552978516, 95.67168426513672, 104.75464630126953, 92.8319091796875, 95.6822738647461, 99.88619995117188, 106.93468475341797, 92.8319091796875, 106.93468475341797, 95.6822738647461, 104.75464630126953, 101.8934097290039, 104.75464630126953, 106.93468475341797, 97.9413070678711, 95.67168426513672, 95.6822738647461, 104.75464630126953, 97.9413070678711, 106.93468475341797, 106.93468475341797, 95.6822738647461, 97.9413070678711, 98.30746459960938, 95.39239501953125, 100.35599517822266, 101.93620300292969, 104.80762481689453, 95.67168426513672, 106.93468475341797, 101.93620300292969, 95.39239501953125, 95.6822738647461, 106.93468475341797, 99.88619995117188, 95.6822738647461, 92.8319091796875, 101.93620300292969, 104.75464630126953]","[277.7201843261719, 346.5705871582031, 271.2380676269531, 278.70166015625, 244.41616821289062, 250.142578125, 228.5071563720703, 242.80673217773438, 212.2595977783203, 276.0221862792969, 204.54019165039062, 238.79983520507812, 209.56471252441406, 270.16119384765625, 192.22340393066406, 221.8933868408203, 226.75442504882812, 224.0205535888672, 325.7677917480469, 223.2664794921875, 212.91102600097656, 201.7354278564453, 198.67091369628906, 220.96400451660156, 202.740234375, 193.11666870117188, 198.66856384277344, 228.37179565429688, 206.50421142578125, 202.74131774902344, 212.91102600097656, 214.9072265625, 221.77784729003906, 239.0121612548828, 212.9145050048828, 228.90989685058594, 198.67062377929688, 193.10702514648438, 212.91224670410156, 253.68899536132812, 198.67062377929688, 250.20045471191406, 189.4236602783203, 194.227783203125, 193.10604858398438, 223.3883819580078, 212.91636657714844, 206.50546264648438, 221.7749786376953, 193.1136474609375, 225.4329071044922, 221.77589416503906, 219.49215698242188, 212.9145050048828, 198.67822265625, 252.47691345214844, 202.73898315429688]"
109,"[105.76882934570312, 100.38858032226562, 102.54643249511719, 102.37479400634766, 97.07288360595703, 102.37479400634766, 94.78223419189453, 96.00150299072266, 99.5009765625, 95.98454284667969, 94.52623748779297, 101.83544158935547, 100.02781677246094, 97.10934448242188, 102.15670013427734, 94.68467712402344, 96.9461441040039, 97.461181640625, 99.54460144042969, 102.48242950439453, 99.48277282714844, 97.26748657226562, 102.75454711914062, 92.14228820800781, 99.54460144042969, 99.80207061767578, 99.86265563964844, 99.54460144042969, 102.75454711914062, 94.23797607421875, 97.26748657226562, 92.2164535522461, 97.78121185302734, 97.26748657226562, 94.23797607421875, 99.80207061767578, 92.14228820800781, 92.57023620605469, 93.66871643066406, 99.54460144042969, 102.75454711914062, 92.2164535522461, 99.86265563964844, 99.54460144042969, 97.26748657226562, 97.26748657226562, 96.9461441040039, 92.2164535522461, 95.25817108154297, 94.23797607421875, 100.33377838134766, 95.0217056274414, 93.6862564086914, 99.54460144042969, 99.54460144042969, 94.23797607421875, 99.86265563964844]","[307.0464782714844, 313.6954650878906, 284.94384765625, 250.49684143066406, 285.5741882324219, 266.3192138671875, 219.15525817871094, 224.66458129882812, 216.24087524414062, 243.19406127929688, 230.38897705078125, 245.6094970703125, 206.5196533203125, 223.4313201904297, 244.7715301513672, 239.97361755371094, 201.96774291992188, 299.3321228027344, 202.04974365234375, 217.08932495117188, 284.9327392578125, 208.61500549316406, 186.09523010253906, 212.0155029296875, 212.0101318359375, 193.926025390625, 197.91636657714844, 194.8169403076172, 189.92855834960938, 223.61953735351562, 252.6927947998047, 212.014892578125, 234.9705810546875, 208.9425811767578, 212.01426696777344, 207.8151397705078, 195.10267639160156, 186.1306915283203, 203.0372314453125, 228.22499084472656, 234.9650421142578, 218.41778564453125, 186.0956268310547, 186.1056671142578, 228.7122802734375, 286.04815673828125, 203.3858184814453, 195.10208129882812, 193.9320068359375, 186.1097869873047, 229.68873596191406, 212.4719696044922, 221.78173828125, 186.06761169433594, 195.19546508789062, 221.6826171875, 195.19265747070312]"
