node_num_list,all_real_labels_list,all_eval_label_list
50,"[39.29905319213867, 44.154232025146484, 43.93503189086914, 41.684600830078125, 42.100162506103516, 40.96407699584961, 38.381534576416016, 40.00896453857422, 41.35647201538086, 39.28213882446289, 38.65349197387695, 37.823646545410156, 35.46440887451172, 34.87358093261719, 39.28213882446289, 37.130218505859375, 36.3633918762207, 41.43508529663086, 38.82258605957031, 35.92327117919922, 37.05992889404297, 36.55022430419922, 39.20294952392578, 35.92327117919922, 42.100162506103516, 32.38156509399414, 37.130218505859375, 35.92327117919922, 39.03072738647461, 36.55022430419922, 37.107147216796875, 43.557411193847656]","[218.54251098632812, 213.64239501953125, 228.32196044921875, 213.5765380859375, 208.36634826660156, 210.15443420410156, 196.48684692382812, 210.84616088867188, 211.5896759033203, 206.8452911376953, 218.29844665527344, 185.0699005126953, 228.09893798828125, 208.36492919921875, 198.06900024414062, 204.9266815185547, 218.37489318847656, 221.32090759277344, 215.12338256835938, 208.67239379882812, 187.55133056640625, 196.4043426513672, 186.1734619140625, 196.2324676513672, 183.2205810546875, 212.69610595703125, 222.8866424560547, 222.35733032226562, 209.02151489257812, 203.22811889648438, 215.5004119873047, 200.67491149902344]"
51,"[47.944454193115234, 43.75422668457031, 46.202762603759766, 42.10340881347656, 43.41992950439453, 41.158748626708984, 41.84279251098633, 41.647525787353516, 39.134307861328125, 39.175174713134766, 40.18373107910156, 42.19837188720703, 44.555198669433594, 47.862953186035156, 36.57366180419922, 39.23025894165039, 40.82652282714844, 39.53155517578125, 42.2669792175293, 42.161128997802734, 41.187564849853516, 37.96839141845703, 40.16201400756836, 36.81818389892578, 39.03167724609375, 41.420963287353516, 39.937896728515625, 41.187564849853516, 36.87024688720703, 40.82652282714844, 37.58150100708008, 36.57366180419922, 36.87024688720703]","[236.18446350097656, 214.85159301757812, 190.62457275390625, 246.0611114501953, 242.51625061035156, 220.39675903320312, 237.07432556152344, 214.14210510253906, 211.18115234375, 185.69879150390625, 211.7225799560547, 223.98928833007812, 222.6670379638672, 201.3479461669922, 216.89785766601562, 220.64227294921875, 209.8671417236328, 174.5406494140625, 214.67869567871094, 187.7027130126953, 203.89210510253906, 223.87770080566406, 199.773681640625, 222.25685119628906, 233.60255432128906, 214.2553253173828, 192.18978881835938, 177.74232482910156, 197.4929962158203, 212.62518310546875, 203.32232666015625, 174.5557098388672, 204.7099609375]"
52,"[42.451744079589844, 44.309661865234375, 42.62827682495117, 37.19279098510742, 35.35508346557617, 36.93342971801758, 42.263458251953125, 38.429229736328125, 35.628292083740234, 33.26671600341797, 39.898555755615234, 39.932289123535156, 38.23957443237305, 32.78423309326172, 40.105709075927734, 34.54680633544922, 32.78423309326172, 32.78423309326172, 42.2103271484375, 36.44355773925781, 34.32056427001953, 32.19163513183594, 39.898555755615234, 39.98349380493164, 42.34772491455078, 39.545928955078125, 32.19163513183594, 36.119632720947266, 43.825233459472656, 38.00354766845703, 39.932289123535156, 39.9801139831543, 34.91352462768555, 39.932289123535156]","[248.0773468017578, 211.40145874023438, 252.728515625, 237.81956481933594, 237.91488647460938, 214.6348114013672, 242.34585571289062, 196.6103973388672, 206.60662841796875, 226.46812438964844, 218.3516845703125, 208.4087677001953, 223.83224487304688, 197.59585571289062, 239.11582946777344, 194.24853515625, 211.5710906982422, 217.62750244140625, 221.17630004882812, 225.49916076660156, 178.1868133544922, 216.13665771484375, 196.1651153564453, 207.0056915283203, 200.01632690429688, 221.6033935546875, 185.24090576171875, 183.28475952148438, 188.9945526123047, 213.0574188232422, 175.8334197998047, 207.1451873779297, 208.40634155273438, 220.4737091064453]"
53,"[43.0409049987793, 43.11748504638672, 40.00403594970703, 38.08963394165039, 43.75358200073242, 46.055458068847656, 39.58259582519531, 40.86188888549805, 43.507530212402344, 40.86188888549805, 43.11748504638672, 38.67698669433594, 36.558990478515625, 37.996742248535156, 43.507530212402344, 40.72768783569336, 40.61264419555664, 40.6390266418457, 37.353275299072266, 38.67698669433594, 41.281917572021484, 40.72768783569336, 35.563289642333984, 40.72768783569336, 38.67698669433594, 35.95817184448242, 40.72768783569336, 37.74444580078125, 40.6390266418457, 35.563289642333984, 40.72768783569336, 34.549888610839844, 40.61264419555664]","[245.784423828125, 232.05697631835938, 243.3270263671875, 236.19297790527344, 229.60081481933594, 212.72915649414062, 232.91749572753906, 219.74166870117188, 235.08717346191406, 203.57745361328125, 235.48724365234375, 187.5205535888672, 202.0664520263672, 217.5846710205078, 205.62603759765625, 205.46932983398438, 231.09133911132812, 218.08407592773438, 212.0654296875, 215.90869140625, 218.40953063964844, 218.0860137939453, 189.5533905029297, 178.7379150390625, 208.96473693847656, 189.55517578125, 205.62686157226562, 228.01358032226562, 200.04278564453125, 219.5235137939453, 190.27915954589844, 207.80490112304688, 178.7348175048828]"
54,"[46.57295227050781, 43.725242614746094, 43.79509735107422, 48.316192626953125, 46.500885009765625, 47.967132568359375, 42.1627311706543, 43.9894905090332, 42.991634368896484, 41.18757629394531, 41.4855842590332, 41.18757629394531, 45.724910736083984, 39.258323669433594, 42.74026870727539, 41.02308654785156, 44.642372131347656, 41.02308654785156, 44.515235900878906, 41.02308654785156, 45.795806884765625, 39.258323669433594, 42.46923065185547, 40.58023452758789, 40.42518615722656, 45.795806884765625, 40.58023452758789, 40.58023452758789, 40.032955169677734, 45.795806884765625, 41.02308654785156, 42.407875061035156]","[242.10671997070312, 234.1041259765625, 234.5159454345703, 226.48336791992188, 238.14585876464844, 215.70355224609375, 224.0184326171875, 208.13632202148438, 230.3230743408203, 229.36595153808594, 233.17373657226562, 206.1056671142578, 189.02174377441406, 198.5659637451172, 207.22869873046875, 198.80422973632812, 243.6200408935547, 183.17193603515625, 203.5652313232422, 187.27760314941406, 185.8110809326172, 208.79225158691406, 197.27700805664062, 206.82078552246094, 174.48277282714844, 185.8110809326172, 187.02581787109375, 239.8302001953125, 230.47454833984375, 194.93504333496094, 209.2945098876953, 197.27700805664062]"
55,"[53.93903350830078, 50.761558532714844, 48.59453201293945, 47.89149856567383, 49.18917465209961, 46.79971694946289, 50.481163024902344, 49.28888702392578, 50.579288482666016, 49.08232116699219, 51.169918060302734, 46.28911209106445, 46.35007858276367, 46.393890380859375, 48.339576721191406, 45.31147766113281, 44.61045837402344, 44.61045837402344, 45.31147766113281, 46.393890380859375, 46.940101623535156, 51.169918060302734, 48.339576721191406, 46.28911209106445, 46.393890380859375, 45.31147766113281, 51.169918060302734, 48.34284210205078, 45.31147766113281, 46.393890380859375, 46.393890380859375, 47.008663177490234, 48.21024703979492, 48.92352294921875]","[224.5088653564453, 217.41668701171875, 214.70199584960938, 242.54100036621094, 224.24746704101562, 200.52423095703125, 209.1815185546875, 226.70462036132812, 222.4287567138672, 199.3312225341797, 216.44654846191406, 216.28977966308594, 216.4505615234375, 223.69752502441406, 184.8043212890625, 191.43882751464844, 193.2677001953125, 220.14247131347656, 226.24391174316406, 221.57192993164062, 186.25514221191406, 185.96478271484375, 188.99313354492188, 197.30393981933594, 186.2514190673828, 204.42889404296875, 212.3102264404297, 195.87576293945312, 215.49937438964844, 190.01437377929688, 178.95016479492188, 212.31944274902344, 200.10940551757812, 217.9272003173828]"
56,"[51.525142669677734, 45.68410110473633, 48.21390151977539, 45.807350158691406, 43.71487045288086, 48.0070686340332, 46.46775436401367, 43.99234390258789, 45.789466857910156, 45.788673400878906, 47.43999099731445, 44.12886428833008, 45.3541374206543, 42.76982879638672, 46.03042221069336, 45.06021499633789, 48.770790100097656, 44.34400939941406, 48.770790100097656, 48.770790100097656, 43.39149475097656, 41.87807846069336, 43.5765380859375, 43.15523147583008, 41.73772048950195, 43.15523147583008, 43.41053771972656, 43.41053771972656, 43.15523147583008, 43.41053771972656, 42.827491760253906, 43.39149475097656, 40.52170944213867]","[243.33938598632812, 255.9822540283203, 236.50218200683594, 227.32254028320312, 188.6228485107422, 228.216796875, 202.833740234375, 235.2698974609375, 251.36505126953125, 221.4772186279297, 235.66258239746094, 229.31497192382812, 194.39154052734375, 196.12448120117188, 197.3095703125, 206.65252685546875, 224.37376403808594, 189.3495635986328, 215.33485412597656, 188.2242431640625, 212.71319580078125, 173.760009765625, 219.2556915283203, 194.44566345214844, 189.8651123046875, 209.49461364746094, 201.27662658691406, 180.73536682128906, 212.79806518554688, 186.97215270996094, 227.3071746826172, 202.39645385742188, 190.9506378173828]"
57,"[53.34550476074219, 50.44023132324219, 47.591793060302734, 45.1627082824707, 47.22908401489258, 48.682212829589844, 49.274986267089844, 48.56417465209961, 48.26969528198242, 47.28038024902344, 46.10603713989258, 45.94346237182617, 43.078880310058594, 42.7296257019043, 41.87754440307617, 44.964351654052734, 50.64318084716797, 48.286861419677734, 46.88848876953125, 47.612728118896484, 47.612728118896484, 47.612728118896484, 42.49129104614258, 44.70750427246094, 44.70750427246094, 44.38185119628906, 44.964351654052734, 39.45150375366211, 46.254051208496094, 40.8481330871582, 46.254051208496094, 47.612728118896484, 47.612728118896484, 43.8976936340332, 43.810211181640625]","[276.1594543457031, 245.58969116210938, 233.0360565185547, 223.12684631347656, 264.9666748046875, 231.53756713867188, 196.68032836914062, 196.36720275878906, 205.11509704589844, 220.80210876464844, 206.10910034179688, 202.0534210205078, 246.84043884277344, 215.19589233398438, 202.981689453125, 192.34596252441406, 213.24337768554688, 223.67236328125, 216.49667358398438, 195.23545837402344, 202.1452178955078, 191.37144470214844, 175.2691192626953, 175.4026336669922, 184.1887969970703, 188.19204711914062, 205.01019287109375, 216.5901641845703, 205.22357177734375, 213.5701904296875, 203.83274841308594, 238.96902465820312, 193.2802734375, 205.00979614257812, 187.0498046875]"
58,"[47.398704528808594, 49.19682693481445, 47.16230773925781, 53.811100006103516, 49.79179000854492, 45.445404052734375, 47.642974853515625, 44.84709930419922, 48.80049514770508, 46.4182014465332, 48.8144416809082, 46.81816864013672, 45.08970260620117, 46.20663070678711, 45.08970260620117, 45.1900520324707, 47.13290023803711, 47.37539291381836, 45.445404052734375, 44.13496017456055, 43.10116195678711, 47.13290023803711, 51.160335540771484, 44.94251251220703, 51.160335540771484, 45.38753128051758, 43.10116195678711, 44.94251251220703, 46.20663070678711, 43.077789306640625, 46.20663070678711, 51.160335540771484, 44.84709930419922, 47.13290023803711]","[249.52798461914062, 233.8443145751953, 210.8111572265625, 231.97039794921875, 220.9232177734375, 231.4939422607422, 246.81752014160156, 214.1822967529297, 239.13499450683594, 236.8477020263672, 202.33033752441406, 195.935302734375, 210.06094360351562, 182.69183349609375, 189.8929443359375, 232.8790283203125, 205.1752471923828, 186.65383911132812, 223.32696533203125, 179.03121948242188, 202.21243286132812, 210.43692016601562, 192.44277954101562, 200.55345153808594, 218.49893188476562, 210.42208862304688, 174.4279327392578, 202.9332275390625, 188.19039916992188, 195.90109252929688, 174.42593383789062, 174.40689086914062, 219.01358032226562, 197.89260864257812]"
59,"[49.74535369873047, 53.18907928466797, 50.703529357910156, 48.54807662963867, 48.15348434448242, 47.029178619384766, 45.99459457397461, 44.714481353759766, 49.64094161987305, 49.330631256103516, 47.71585464477539, 50.34450149536133, 45.99459457397461, 44.04011917114258, 48.1547966003418, 53.3454475402832, 47.22901916503906, 45.85459899902344, 47.10133361816406, 45.85459899902344, 48.1547966003418, 51.10116958618164, 48.1547966003418, 42.56584548950195, 44.743412017822266, 45.90354919433594, 48.28922653198242, 47.34151840209961, 47.34151840209961, 45.607421875, 44.743412017822266, 47.22901916503906, 47.34151840209961, 45.85459899902344, 50.4979248046875]","[229.0381317138672, 224.3210906982422, 226.55445861816406, 232.91146850585938, 246.0706329345703, 243.63169860839844, 210.45455932617188, 206.07962036132812, 218.3225555419922, 236.5722198486328, 212.30523681640625, 182.0880889892578, 204.7851104736328, 181.30699157714844, 228.4523468017578, 235.8755340576172, 213.5238037109375, 208.1982421875, 177.67771911621094, 177.67935180664062, 225.79837036132812, 206.68756103515625, 177.97633361816406, 194.3782501220703, 211.79476928710938, 205.5767059326172, 175.9722900390625, 180.72926330566406, 206.1873321533203, 206.19264221191406, 209.14251708984375, 211.98519897460938, 205.55599975585938, 217.2517852783203, 190.927490234375]"
